metric,value,unit,source,notes
correctness_k3_packed_8x1024_output_worst_rel_rmse,0.5680431914556082,%,03_reference_correctness_17934.csv; max across requested references,
correctness_k3_packed_8x1024_final_state_worst_rel_rmse,0.4570611323704049,%,03_reference_correctness_17934.csv; max across requested references,
correctness_finite_rows,200,rows,03_reference_correctness_17934.csv,
correctness_rows_total,200,rows,03_reference_correctness_17934.csv,
valueslice_bitwise_rows_passed,98,rows,03_reference_correctness_17934.csv,
valueslice_bitwise_rows_total,98,rows,03_reference_correctness_17934.csv,
correctness_worst_rel_rmse,0.9130895966363569,%,03_reference_correctness_17934.csv,
amdahl_v128_grid12_modeled_full_k2_speedup,0.9738523847913263,x,derived from Job 17937 L0 inner64 and phase share 128/416,
amdahl_v128_grid148_modeled_full_k2_speedup,0.9683201155268071,x,derived from Job 17937 L0 inner64 and phase share 128/416,
phase6_static_hmma_atom_share,0.3076923076923077,fraction,source-code static count: 128 Phase-6 atoms / 416 total K2 atoms per chunk/head,
phase6_only_infinite_speedup_ceiling,1.4444444444444444,x,Amdahl model using 128/416 atom share,
ncu_official_v128_duration,1270.0,us,05_targeted_ncu_summary_17965.csv,
ncu_official_v128_cta_count,12,CTA,05_targeted_ncu_summary_17965.csv,
ncu_official_v128_sm_throughput,2.64,%,05_targeted_ncu_summary_17965.csv,
ncu_official_v128_dram_throughput,1.24,%,05_targeted_ncu_summary_17965.csv,
ncu_official_v128_tensor_elapsed,2.48,%,05_targeted_ncu_metrics_17965.csv,
ncu_valueslice_v16_duration,901.22,us,05_targeted_ncu_summary_17965.csv,
ncu_valueslice_v16_cta_count,96,CTA,05_targeted_ncu_summary_17965.csv,
ncu_valueslice_v16_sm_throughput,7.22,%,05_targeted_ncu_summary_17965.csv,
ncu_valueslice_v16_dram_throughput,1.83,%,05_targeted_ncu_summary_17965.csv,
ncu_valueslice_v16_tensor_elapsed,3.5,%,05_targeted_ncu_metrics_17965.csv,
ncu_valueslice_duration_reduction,29.03779527559055,%,derived from Job 17965 NCU durations,
