case,packed,nseq,total_tokens,heads,mode,repeat,order_index,mean_ms,median_ms,p90_ms,min_ms,max_ms,stdev_ms
packed_ragged6,True,6,8192,12,auto,1,2,0.3397396792471409,0.34035199880599976,0.34060800075531006,0.33740800619125366,0.35068801045417786,0.0013090122411208369
packed_ragged6,True,6,8192,12,v32,1,3,0.2870724809169769,0.28723201155662537,0.289247989654541,0.28512001037597656,0.2970240116119385,0.001468904562214359
packed_ragged6,True,6,8192,12,v16,1,4,0.32133871838450434,0.3219519853591919,0.3221440017223358,0.317984014749527,0.3322559893131256,0.001358968878653668
packed_ragged6,True,6,8192,12,v64,2,0,0.28070591926574706,0.2810240089893341,0.28118398785591125,0.27804800868034363,0.2884480059146881,0.0009740932534972563
packed_ragged6,True,6,8192,12,compat_v128,2,1,0.33964768052101135,0.3402880132198334,0.34064000844955444,0.3364799916744232,0.3484799861907959,0.0012800274462655293
packed_ragged6,True,6,8192,12,v32,2,2,0.28711200177669527,0.2872160077095032,0.2892799973487854,0.28512001037597656,0.2959359884262085,0.0015305210927580022
packed_ragged6,True,6,8192,12,auto,2,3,0.3396590404212475,0.33980798721313477,0.3405759930610657,0.3373439908027649,0.35158398747444153,0.0013017266802860768
packed_ragged6,True,6,8192,12,v16,2,4,0.32123535737395287,0.3218879997730255,0.3222079873085022,0.3178560137748718,0.3304319977760315,0.00133596639113885
packed_8x1024,True,8,8192,12,v32,0,0,0.16887119807302953,0.1685439944267273,0.17052799463272095,0.16630400717258453,0.1783359944820404,0.001483578948814965
packed_8x1024,True,8,8192,12,auto,0,1,0.15590256094932556,0.15612800419330597,0.1563200056552887,0.15411199629306793,0.1648319959640503,0.0009633352520527523
packed_8x1024,True,8,8192,12,v64,0,2,0.15365328021347524,0.15408000349998474,0.1542080044746399,0.1509760022163391,0.15779200196266174,0.0009266280535446869
packed_8x1024,True,8,8192,12,compat_v128,0,3,0.15571872055530547,0.15611200034618378,0.1562879979610443,0.15404799580574036,0.1626880019903183,0.0009624818194848496
packed_8x1024,True,8,8192,12,v16,0,4,0.3133680023252964,0.31379199028015137,0.3139840066432953,0.31068798899650574,0.32313600182533264,0.001163922107958106
packed_8x1024,True,8,8192,12,v32,1,0,0.1690707179158926,0.1685439944267273,0.17056000232696533,0.16633599996566772,0.17814399302005768,0.0014169215619927239
packed_8x1024,True,8,8192,12,auto,1,1,0.15590768039226532,0.15612800419330597,0.1562879979610443,0.15404799580574036,0.16512000560760498,0.0009629126025113227
packed_8x1024,True,8,8192,12,v16,1,2,0.3135435213148594,0.31382399797439575,0.3140160143375397,0.31091201305389404,0.3233279883861542,0.0010613101814059742
packed_8x1024,True,8,8192,12,compat_v128,1,3,0.15575888082385064,0.15612800419330597,0.1562879979610443,0.15404799580574036,0.16326400637626648,0.0009800832301513002
packed_8x1024,True,8,8192,12,v64,1,4,0.15349616013467313,0.15403199940919876,0.15423999726772308,0.15123200416564941,0.1616320013999939,0.0010785633636296625
packed_8x1024,True,8,8192,12,v16,2,0,0.31299632161855695,0.31275199353694916,0.3140160143375397,0.31171199679374695,0.32441601157188416,0.0012851943743027107
packed_8x1024,True,8,8192,12,auto,2,1,0.15547424130141735,0.1560640037059784,0.1563519984483719,0.15343999862670898,0.169855996966362,0.0014125222954799676
packed_8x1024,True,8,8192,12,v32,2,2,0.16863615795969963,0.1685439944267273,0.17059199512004852,0.16633599996566772,0.1783359944820404,0.0015875129729704001
packed_8x1024,True,8,8192,12,v64,2,3,0.1532395201176405,0.15388799458742142,0.15423999726772308,0.15119999647140503,0.1595200002193451,0.0010865728766973057
packed_8x1024,True,8,8192,12,compat_v128,2,4,0.1554430415481329,0.15609599649906158,0.1563200056552887,0.15324799716472626,0.1629440039396286,0.0011441030668458527
packed_32x256,True,32,8192,12,auto,0,0,0.12458048019558192,0.12385599687695503,0.12559999525547028,0.12252800166606903,0.1361600011587143,0.0013367200927083302
packed_32x256,True,32,8192,12,v32,0,1,0.17195055931806563,0.17236799746751785,0.17286400496959686,0.16953599452972412,0.18982400000095367,0.0017759072707421936
