case,packed,nseq,total_tokens,heads,mode,repeat,order_index,mean_ms,median_ms,p90_ms,min_ms,max_ms,stdev_ms
fixed_1x8192,False,1,8192,12,v16,2,1,0.5694833600521088,0.5698559880256653,0.5711039900779724,0.5676800012588501,0.5849279761314392,0.0017000427744013797
fixed_1x8192,False,1,8192,12,compat_v128,2,2,0.7806294402480125,0.780815988779068,0.7828800082206726,0.7767360210418701,0.797760009765625,0.0020450881184466475
fixed_1x8192,False,1,8192,12,v32,2,3,0.5849332809448242,0.5843520164489746,0.5863360166549683,0.582144021987915,0.6179199814796448,0.0026047692707538215
fixed_1x8192,False,1,8192,12,auto,2,4,0.5693441623449326,0.5691680014133453,0.5708799958229065,0.5676479935646057,0.5843200087547302,0.0016441541639241573
fixed_1x8192,False,1,8192,12,v64,3,0,0.6345390379428864,0.63372802734375,0.6356800198554993,0.6313920021057129,0.6534079909324646,0.0018569577053379003
fixed_1x8192,False,1,8192,12,compat_v128,3,1,0.7801470419764519,0.7799040079116821,0.7828800082206726,0.776639997959137,0.7945280075073242,0.0020724120895436156
fixed_1x8192,False,1,8192,12,v16,3,2,0.5692435213923455,0.5689760148525238,0.571008026599884,0.5677440166473389,0.5825920104980469,0.0016025738546534415
fixed_1x8192,False,1,8192,12,auto,3,3,0.5690523219108582,0.5687679946422577,0.5701760053634644,0.5669119954109192,0.5891519784927368,0.0018723895017336827
fixed_1x8192,False,1,8192,12,v32,3,4,0.5847806385159493,0.584384024143219,0.5863040089607239,0.5813760161399841,0.6023039817810059,0.0016925649277096768
fixed_1x8192,False,1,8192,12,v32,4,0,0.5847116783261299,0.5843520164489746,0.5863360166549683,0.582207977771759,0.5987520217895508,0.0014986870159912442
fixed_1x8192,False,1,8192,12,compat_v128,4,1,0.7803447994589806,0.7807360291481018,0.782912015914917,0.7767360210418701,0.7953280210494995,0.0020112656038730014
fixed_1x8192,False,1,8192,12,v64,4,2,0.6347294411063195,0.6346880197525024,0.6357120275497437,0.63155198097229,0.6552000045776367,0.0019113721091946062
fixed_1x8192,False,1,8192,12,auto,4,3,0.5696019199490547,0.5698239803314209,0.5719360113143921,0.5676479935646057,0.5860480070114136,0.0017873472270844846
fixed_1x8192,False,1,8192,12,v16,4,4,0.5694972798228264,0.5698079764842987,0.5717440247535706,0.5676800012588501,0.5844159722328186,0.0017195326535250223
packed_1x8192,True,1,8192,12,v32,0,0,0.5838156807422638,0.5841280221939087,0.5861120223999023,0.5800960063934326,0.5973759889602661,0.001759460917665152
packed_1x8192,True,1,8192,12,v64,0,1,0.633016157746315,0.6332799792289734,0.6353279948234558,0.6292160153388977,0.6468480229377747,0.0018924289959742924
packed_1x8192,True,1,8192,12,v16,0,2,0.5741966414451599,0.5740159749984741,0.5760639905929565,0.57014399766922,0.5831040143966675,0.001742358531540543
