campaign=03_reference_correctness
started_utc=2026-09-03T07:10:07Z
flashkda_commit=1ce47ea3bb22c84eb9cc665028399cf35e8ffb0b
worktree_dirty_files=12
name, uuid, driver_version, clocks.current.sm [MHz], clocks.max.sm [MHz], memory.total [MiB]
NVIDIA B300 SXM6 AC, GPU-<REDACTED>, 580.126.09, 1905 MHz, 2032 MHz, 275040 MiB
extension=/home/lcpu/<USER_ID>/FlashKDA/results/20260821_dispatch_boundary/integrated_dispatch/lib/flash_kda_C.cpython-312-x86_64-linux-gnu.so
device={'device': 0, 'major': 10, 'minor': 3, 'sm_count': 148, 'l2_bytes': 132644864, 'shared_memory_per_sm': 233472, 'registers_per_sm': 65536, 'max_threads_per_sm': 2048, 'warp_size': 32, 'max_blocks_per_sm': 32}
fla_version=0.5.2
naive_path=/home/lcpu/<USER_ID>/FlashKDA/.venv/lib/python3.12/site-packages/fla/ops/kda/naive.py
naive_sha256=60a32285d4b67068ff633b48bbe8ab31028066d24f00d27e12199a88fc73f016
chunk_path=/home/lcpu/<USER_ID>/FlashKDA/.venv/lib/python3.12/site-packages/fla/ops/kda/chunk.py
chunk_sha256=a15aa6ac257af5c8f7a1d6afc21a417391568e90a8898d4e228ddeb48cb0e9b8
FLA_FLASH_KDA=0
reference_hash_matches={'naive': True, 'chunk': True}
metric case=fixed_short_out_only candidate=flash_v16_bf16_public_state reference=naive_fp32_state tensor=final_state max_abs=3.212959e-03 rmse=3.004344e-04 rel_rmse=4.940149e-03 bitwise=False
metric case=fixed_short_out_only candidate=flash_v16_bf16_public_state reference=fla_chunk_fp32_state tensor=output max_abs=2.441406e-04 rmse=2.438209e-05 rel_rmse=6.517575e-03 bitwise=False
metric case=fixed_short_out_only candidate=flash_v16_bf16_public_state reference=fla_chunk_fp32_state tensor=final_state max_abs=2.940029e-03 rmse=3.094965e-04 rel_rmse=5.087897e-03 bitwise=False
metric case=fixed_short_out_only candidate=flash_v16 reference=flash_v128 tensor=output max_abs=0.000000e+00 rmse=0.000000e+00 rel_rmse=0.000000e+00 bitwise=True
metric case=fixed_short_out_only candidate=flash_v16 reference=flash_v128 tensor=final_state max_abs=0.000000e+00 rmse=0.000000e+00 rel_rmse=0.000000e+00 bitwise=True
metric case=fixed_short_out_only candidate=flash_v128_fp32_public_state reference=naive_fp32_state tensor=output max_abs=1.901835e-04 rmse=2.480995e-05 rel_rmse=6.622722e-03 bitwise=False
metric case=fixed_short_out_only candidate=flash_v128_fp32_public_state reference=naive_fp32_state tensor=final_state max_abs=3.212959e-03 rmse=3.004344e-04 rel_rmse=4.940149e-03 bitwise=False
metric case=fixed_short_out_only candidate=flash_v128_fp32_public_state reference=fla_chunk_fp32_state tensor=output max_abs=2.441406e-04 rmse=2.438209e-05 rel_rmse=6.517575e-03 bitwise=False
metric case=fixed_short_out_only candidate=flash_v128_fp32_public_state reference=fla_chunk_fp32_state tensor=final_state max_abs=2.940029e-03 rmse=3.094965e-04 rel_rmse=5.087897e-03 bitwise=False
metric case=fixed_short_out_only candidate=flash_v16_fp32_public_state reference=naive_fp32_state tensor=output max_abs=1.901835e-04 rmse=2.480995e-05 rel_rmse=6.622722e-03 bitwise=False
metric case=fixed_short_out_only candidate=flash_v16_fp32_public_state reference=naive_fp32_state tensor=final_state max_abs=3.212959e-03 rmse=3.004344e-04 rel_rmse=4.940149e-03 bitwise=False
metric case=fixed_short_out_only candidate=flash_v16_fp32_public_state reference=fla_chunk_fp32_state tensor=output max_abs=2.441406e-04 rmse=2.438209e-05 rel_rmse=6.517575e-03 bitwise=False
metric case=fixed_short_out_only candidate=flash_v16_fp32_public_state reference=fla_chunk_fp32_state tensor=final_state max_abs=2.940029e-03 rmse=3.094965e-04 rel_rmse=5.087897e-03 bitwise=False
case_start name=ragged_short_stateful lengths=(31, 47, 19) heads=1 gate=random state_mode=in_out
metric case=ragged_short_stateful candidate=fla_chunk_fp32_state reference=naive_fp32_state tensor=output max_abs=2.791733e-04 rmse=1.887270e-05 rel_rmse=4.018986e-03 bitwise=False
metric case=ragged_short_stateful candidate=fla_chunk_fp32_state reference=naive_fp32_state tensor=final_state max_abs=2.165794e-03 rmse=1.182603e-04 rel_rmse=2.664164e-03 bitwise=False
metric case=ragged_short_stateful candidate=flash_v16 reference=flash_v128 tensor=output max_abs=0.000000e+00 rmse=0.000000e+00 rel_rmse=0.000000e+00 bitwise=True
metric case=ragged_short_stateful candidate=flash_v16 reference=flash_v128 tensor=final_state max_abs=0.000000e+00 rmse=0.000000e+00 rel_rmse=0.000000e+00 bitwise=True
metric case=ragged_short_stateful candidate=flash_v128_bf16_public_state reference=naive_fp32_state tensor=output max_abs=2.676472e-04 rmse=2.490767e-05 rel_rmse=5.304145e-03 bitwise=False
metric case=ragged_short_stateful candidate=flash_v128_bf16_public_state reference=naive_fp32_state tensor=final_state max_abs=3.480047e-03 rmse=1.917319e-04 rel_rmse=4.319328e-03 bitwise=False
metric case=ragged_short_stateful candidate=flash_v128_bf16_public_state reference=fla_chunk_fp32_state tensor=output max_abs=2.441406e-04 rmse=2.600580e-05 rel_rmse=5.540893e-03 bitwise=False
metric case=ragged_short_stateful candidate=flash_v128_bf16_public_state reference=fla_chunk_fp32_state tensor=final_state max_abs=3.419012e-03 rmse=1.820217e-04 rel_rmse=4.103325e-03 bitwise=False
metric case=ragged_short_stateful candidate=flash_v16_bf16_public_state reference=naive_fp32_state tensor=output max_abs=2.676472e-04 rmse=2.490767e-05 rel_rmse=5.304145e-03 bitwise=False
